,texto,usuario,ubicacion,fecha,tweet_id,numero_rt,numero_likes,palabra_clave
0,"📢¡ @Hydrometra11 abre convocatoria para nuevos integrantes!. Este grupo busca investigar, formar y generar tecnología mediante el desarrollo de medios de transporte de alta eficiencia energética, buscando potenciar la movilidad sostenible. 🌎🛥️

➕Info: https://t.co/kzZzGrIMWw https://t.co/syLooGcKgM",fminas,Medellín - Colombia,2022-05-21 18:30:00+00:00,1.5280806854575473e+18,2.0,3.0,movilidad sostenible
1,"Faltan días para dar inicio a nuestras giras presenciales de movilidad sostenible y sostenibilidad 2022 🇨🇴, de la mano de @LataMobility.

Latam Mobility Colombia 🎟: https://t.co/zHUcB1K83y

Net Zero Leadership Forum | Registro sin costo: https://t.co/zHUcB1K83y https://t.co/x2hJlnbGaW",LatamGreen,Panama,2022-05-21 01:29:49+00:00,1.527823948217471e+18,0.0,5.0,movilidad sostenible
2,"@QuinteroCalle Desde su llegada claro que sí, más inseguridad, más piratería de servicios públicos. Más basuras por todo lado, pavimentos destruidos. Y ahora suspendido Medellín trata de enmendar ese daño.",CegamaL7,"Medellín, Antioquia",2022-05-21 12:31:25+00:00,1.5279904459047404e+18,0.0,2.0,servicios publicos
3,"@SantiagoSernaOs @petrogustavo Le están pidiendo el certificado de votación y la fotocopia de los servicios públicos, la cual tiene su dirección y datos personales, aquí en medellin también los del pacto histórico están dando esos bonos.",SORAGAME13,,2022-05-21 01:24:14+00:00,1.527822542597243e+18,0.0,0.0,servicios publicos
4,"🔴#SeñalDeLaMañana | La Alcaldía de Medellín indicó que allí cerca de 4.300 personas dependen económicamente del reciclaje.

Escucha las noticias aquí📻➡ https://t.co/LPPvT06WLI https://t.co/fz33hZhwCD",RadNalCo,"Bogotá, Colombia",2022-05-18 13:52:05+00:00,1.526923582420439e+18,0.0,1.0,reciclaje
5,"Está mañana en el Centro de Medellín estaban entregando material para reciclaje de la campaña de GP, le dije no señor que tal por Dios se me quema la mano. 🤣🤣🤣",mpaulina12,,2022-05-17 21:25:25+00:00,1.5266752809155707e+18,0.0,1.0,reciclaje
6,"@carpmede @JohnMiltonFaja2 @QuinteroCalle Es que los ""progres"" lo aman, pero por qué?
Que hace en las comunas de Medellín?
Que transformaron ha impulsado?
Que obra de urbanismo social le va a dejar a la ciudad?
Que programa disruptivo?

Solo respuestas verdaderas, porque el metro de la 80 viene de hace 4 administraciónes",DanielEsPareja,"Antioquia, Colombia",2022-05-21 21:15:20+00:00,1.528122291158139e+18,0.0,0.0,urbanismo
7,"El caso de Medellín es un caso de Urbanismo SUPER interesante.

Y encima ya tuve el placer de escuchar sobre ese caso directamente de alguien involucrado en ese proyecto urbanistico: el Arq. Jorge Pérez Jaramillo.

Recomiendo 100000% este conversatorio, el ponente es ESPECTACULAR https://t.co/X8TMHIIyar",FerchoMaidana,Paraguay,2022-05-20 20:36:19+00:00,1.5277500846828257e+18,2.0,7.0,urbanismo
8,"#ACTUALIDAD || En 2020, Iván Duque lo integró en su gabinete como viceministro de Agricultura, en la dependencia de desarrollo rural. https://t.co/Ha0FUZrC1e",diariocriterio,"Bogotá, D.C., Colombia",2022-05-16 02:40:00+00:00,1.5260296698956595e+18,6.0,5.0,desarrollo rural
9,"@FicoGutierrez La gente habla por hablar, mostrando su total desconocimiento en materia de bienestar animal y todo lo que hizo Fico por ellos cuando fue alcalde de Medellín. Si hay algo seguro, es del compromiso que este tiene con los animales.",LoMejorDeLos80s,,2022-05-18 00:01:08+00:00,1.526714467261862e+18,0.0,0.0,bienestar animal
10,"#AEstaHora A través del Centro de Pensamiento y Gobierno Escolar de la Personería de Medellín, el Personero @WilliamYeffer  participa en el Segundo Seminario de Biodiversidad en la Educación el cual se realiza en la @Uni_Remington https://t.co/ikx9zlmVHz",personeriamed,"Medellín, Antioquia, Cologmbia",2022-05-19 15:04:58+00:00,1.5273043100270838e+18,2.0,6.0,biodiversidad
11,@ELTIEMPO Ojalá podamos navegar algún día en el Río Medellín. #MedioAmbiente @ParquesdelRio @AlcaldiadeMed #CambioClimático #MedellínFuturo #QuinteroSeQueda @Bogota #biodiversidad #LecturaRecomendada #FelizDomingo @EPMestamosahi #RedesSociales #TurismoNacional #SiguemeYTeSigo,gestormundial,Medellín-Colombia,2022-05-15 13:06:48+00:00,1.5258250241034404e+18,0.0,0.0,biodiversidad
12,"(17:00) Conoce el estado de las vías en 👉 https://t.co/0CMlHMttqp. #MovilidadMedellín.

📍A través de nuestros Paneles Informativos compartimos las novedades que afectan la movilidad y datos útiles para que puedas tomar decisiones en la vía. 

#MovilidadSegura https://t.co/kn2BMS2Qm5",sttmed,"Medellín, Colombia",2022-05-21 22:00:07+00:00,1.5281335636269711e+18,0.0,4.0,movilidad
13,"@sttmed si bien el problema es la falta de cultura ciudadana y educación vial, hace falta que el tránsito de Medellín pase por Laureles, se parquean dónde quieran afectando a los que vivimos en dicho barrio y toda la movilidad.  Ahhh, y eso es diario. https://t.co/cs3DxdMqVy",chamitolopez,,2022-05-21 20:14:30+00:00,1.5281069855430574e+18,0.0,1.0,movilidad
14,"#Martes de Ahorro Energetico💡🌿
Vietnam impulsa ahorro energético en industria
https://t.co/w0T6jdfAf6
-
👉https://t.co/vvDjxcbDxk
Vive una experiencia RECICLANDO!
#Reciclar #AhorroEnergia #Colombia #Bogota #Medellin",AEE_Colombia,Bogotá-Colombia,2022-05-18 00:00:29+00:00,1.526714303453315e+18,0.0,1.0,reciclar
15,"#Martes de Ahorro Energetico🌿💡
Alemania, Austria, Irlanda y Luxemburgo sopesan medidas para forzar el ahorro energético
https://t.co/DRx8bgrO7W
-
👉https://t.co/vvDjxcbDxk
Vive una experiencia RECICLANDO!
#Reciclar #AhorroEnergia #Colombia #Bogota #Medellin",AEE_Colombia,Bogotá-Colombia,2022-05-17 22:00:44+00:00,1.5266841652441784e+18,0.0,0.0,reciclar
16,@QuinteroCalle Y porqué mejor no actúa con humildad como el @Alcaldiaibague y espera que pasen las elecciones separado de su cargo. Si tanto le importa Medellin no ponga por encima de la ciudad unas elecciones y dedíquese a recargar energías para volver,cartagena2026,"Bogotá, D.C., Colombia",2022-05-15 12:59:53+00:00,1.5258232802753987e+18,0.0,2.0,energias
17,"#Betulia | El municipio de Betulia sigue en emergencia por las lluvias. El 80% de los habitantes de la zona rural están incomunicados por los derrumbes. 
https://t.co/JCGyrp37DL",CaracolMedellin,"Medellín, Antioquia",2022-05-22 00:08:50+00:00,1.5281659569749524e+18,3.0,5.0,rural
18,El Metro de la 80 llegará con su feria de emprendimiento al cerro El Volador  https://t.co/fl97iDDZMq #medellin #comunas #rural #corregimientos #webstories  @alcaldiademed @checholopezm @metrodela80 https://t.co/qE9531p4ML,ComunasMed,Medellin,2022-05-22 00:05:00+00:00,1.528164990238204e+18,0.0,0.0,rural
