,full_text,location,number_rt,number_likes,number_reply
0," colegio Corazonista medellin, enloquecedor..se desbordó en tares, para supuestas vacaciones o receso..es abuso y nadie que regule","Medellín, Colombia",0,0,0
1, @MarioAr69821664 Profe si viera las calles de los barrios en Medellín,"Medellín, Colombia",0,1,0
2, @adolforivasdiaz Medellín 1997,"Medellín, Colombia",0,0,0
3, Y Ron Medellín,"Medellín, Colombia",0,0,0
4," Desde Medellín, Colombia Viéndote y haciéndonos reír en casa desde que empezaste la maratonica. #ChistesOrdonez","Medellín, Colombia",0,0,0
5," @zimonrock Hola, nuestras tiendas continúan cerradas, contamos actualmente con 4 centros de abastecimiento (Bogotá: Calle 80, Medellín: San Juan, Cali: Jardín Plaza y Barranquilla: Buenavista) con productos de primera necesidad.","Medellín, Colombia",0,0,1
6," Para un momento como éste, ser escuchadx y atendidx puede ser fundamental. La arquidiócesis de Medellín ha habilitado una línea de zona de escucha y contención psicológica 💜","Medellín, Colombia",1,2,0
7," @QuinteroCalle @AlcaldiadeMed @PoliciaMedellin Y va para cuando el pico y cédula en Medellín? En la localidad de Boston hoy lunes había mucha gente en la calle, tal vez porque es quincena pero la gente no está colaborando","Medellín, Colombia",0,0,0
8," 6 pm en el cielo de medellin #quedateencasa #cuarentena #covıd19 #Covid #CoronavirusColombia #coronavirus en Medellín, Antioquia","Medellín, Colombia",0,0,0
9," @MiremosaVer @RosiGaviria Pero eso suena a un rico normal, tipo la gente que vive en El Poblado en Medellín.","Medellín, Colombia",0,0,1
10, Nuestra librería en Medellín tiene fanpage en Facebook,"Medellín, Colombia",0,2,0
11," @AlcaldiadeMed ¡Muy Felicitaciones a la Alcaldía de Medellín y su equipo de trabajo ! 🙂 ¡Es un excelente ejemplo de ecología y mejorar la calidad de vida de los ciudadanos que las ciudades y pueblos en el mundo deberían seguir! 🙂 Frédéric desde Pommeret, Bretaña en Francia 🇫🇷 🙂!","Medellín, Colombia",0,2,0
