word,frequency
tercera,29
marco,46
programatico,29
articulando,2
ciudad,48
desarrollo,120
valle,2
aburra,2
departamento,17
asociatividad,1
municipios,1
subregiones,1
contexto,6
competitividad,3
territorial,52
cara,5
anterior,5
relacionan,2
componente,23
politica,53
publica,65
seguridad,117
alimentaria,1
acuerdo,15
municipal,35
sistema,29
gestion,127
ambiental,4
municipio,42
mujeres,18
urbanas,6
rurales,7
capitulo,1
linea,51
estrategica,11
gobernanza,23
gobernabilidad,17
principio,2
fundamental,2
entender,2
constituye,3
criterio,3
orienta,5
presente,2
proteccion,19
defensa,7
publico,47
negociable,1
pos,1
tura,2
seran,1
soporte,2
institucionalidad,10
ciudadania,36
reconozcan,2
mutuamente,1
actores,23
fundamentales,4
construccion,33
futuro,45
debemos,2
fortalecer,44
vivimos,1
sociedad,20
conocimiento,23
cambio,3
social,71
requiere,3
sumar,1
manera,21
efectiva,7
capacidades,27
enfoque,11
pone,1
primero,1
gober,1
nanza,1
sintonia,1
agenda,10
ods,7
perspectiva,9
planteado,2
programa,36
naciones,3
unidas,3
pnud,1
señala,1
democratica,10
refiere,2
gobiernos,1
bajo,12
principios,6
garantia,9
derechos,51
humanos,31
libertad,8
participacion,132
decisiones,13
publicas,18
dejar,1
nadie,1
talleres,1
territoriales,16
encuentros,4
sectoriales,3
poblacionales,12
participaron,1
alrededor,3
personas,26
aportaron,1
tres,1
elementos,6
clave,4
primer,1
lugar,2
reconocimiento,10
parti,2
cipacion,2
ciudadana,96
derecho,9
sino,6
camino,2
lograr,8
metas,9
lineas,2
plan,61
sentido,4
transversal,1
aporta,1
generamos,1
nuevas,10
relaciones,7
horizontalidad,1
organizacio,1
nes,3
sociales,38
segundo,1
proceso,12
participativo,8
demuestra,2
impostergable,1
tanto,9
necesario,3
modelo,17
identificar,2
organizar,1
poner,2
disposicion,2
procesos,81
organizaciones,23
comunitarios,21
datos,9
estadisticos,1
numericos,1
informacion,47
otros,10
saberes,3
derivados,1
experiencia,3
deben,7
tenidos,1
base,51
pro,3
cesados,1
logica,2
innovacion,15
eficiente,12
httpswwwcoundporgcontentcolombiaeshomedemocraticgovernanceandpeacebuildinghtml,1
finalmente,1
aporto,1
res,1
paldo,1
importante,3
vision,6
queremos,4
construir,7
territorios,13
justos,1
seguros,2
articulados,2
diferentes,23
escalas,2
barrial,2
global,3
paz,34
proposito,6
generar,13
condiciones,13
institucionales,15
politicas,19
ciuda,3
danas,2
fortalecimiento,39
generando,6
sinergia,1
gobierno,36
buscamos,2
dialogo,3
abierto,7
concertacion,1
colectiva,6
ciudadanos,34
colectivo,8
territorio,37
instalacion,1
locales,8
uso,7
dato,2
activo,1
otorga,1
valor,9
articulacion,41
intra,1
interinstitucional,2
transparente,10
gobernar,3
tomando,4
evidencia,1
empirica,1
tecnica,5
estableciendo,3
objetivos,32
prioridades,7
claras,3
integrando,2
universidad,1
empresa,1
civil,9
estado,11
administracion,26
recursos,16
haremos,1
aus,1
teridad,1
transparencia,8
eficiencia,3
maquillaje,1
apoyados,3
tecnologias,2
digitales,2
trabajo,12
ciudadanas,20
ayuden,1
mejorar,11
cuidar,1
publicos,19
ello,7
enfocaremos,1
generacion,19
confianza,15
institucional,33
partir,14
implemen,1
tacion,1
continuidad,4
practicas,11
manejo,7
racional,1
articulado,5
finanzas,2
inte,1
rinstitucional,1
coordinando,1
acciones,55
conjuntas,3
mejoramiento,11
objetivo,38
ejercicio,11
apuesta,6
nuevo,3
liderazgo,9
institucio,3
nal,2
procure,2
mecanismos,15
interna,3
focalizacion,4
accion,19
cierre,3
brechas,3
basadas,4
conjuguen,1
integrales,2
integradas,1
humano,15
sostenible,14
indicadores,77
resultado,18
unidad,45
meta,47
responsable,43
corresponsable,7
medida,44
nivel,17
satisfaccion,6
humana,12
porcentaje,94
oferta,3
servicio,13
indice,12
desempeño,9
dap,3
calificacion,1
rango,2
fiscal,2
solvente,2
hacienda,4
favorabilidad,1
sentencias,1
ejecutoriadas,1
general,34
sostenibilidad,10
conglomerado,10
alcanzada,1
privada,7
entidades,17
lineamientos,9
implementados,4
emitidos,1
corporativo,5
aproba,1
comite,5
incluye,5
orientadas,11
talento,9
recuperacion,2
aportara,3
cumplimiento,17
monitoreara,4
indicador,6
relaciona,6
continuacion,5
figura,5
iga,1
fuente,6
procuraduria,1
incrementar,2
llegar,1
programas,30
descripcion,29
desarrollar,10
planes,10
requeridos,3
ambiente,3
laboral,9
reconoce,4
rol,3
servidores,6
capacita,1
habilidades,4
competencias,5
promueve,4
bienestar,10
fidelizacion,1
alta,1
calidad,21
incentiva,1
meritorio,1
enfocados,1
establecido,5
integrado,4
planeacion,49
mipg,2
integridad,1
legalidad,2
motores,1
resultados,6
gestionar,14
etapas,2
ciclo,1
vida,23
mediante,36
proyectos,35
promuevan,5
potenciacion,2
dimensiones,2
integralidad,2
compromiso,1
involucramiento,1
empoderamiento,3
inherentes,1
contribuyendo,5
entidad,4
prestacion,2
especificos,27
contribuir,9
incrementando,1
trategias,1
alcaldia,8
aseguren,1
servidoras,2
saludables,1
salud,7
integral,21
mental,2
fisica,4
espiritual,1
aumento,1
disponer,4
actualizada,2
organizada,2
digitalizada,1
registrada,1
expe,1
dientes,1
historias,1
laborales,1
logico,1
basado,2
mejora,4
continua,12
organizacion,2
planificacion,12
aplicacion,9
evaluacion,14
auditoria,2
busca,12
anticipar,1
reconocer,4
evaluar,2
controlar,2
riesgos,6
puedan,3
afectar,1
central,9
adelantar,2
actividades,5
permitan,22
formar,3
blandas,1
consciente,2
comunicacion,32
equipo,1
inteligencia,10
emocional,1
solucionar,1
necesidades,13
vivienda,4
pensionados,1
grupo,2
familiar,1
producto,59
creditos,1
adjudicados,1
subsecretaria,4
numero,97
intervenciones,5
efectuadas,2
cercano,3
establece,1
diversos,6
mayor,13
frente,13
reales,1
comunidades,5
pretendemos,1
enfocarnos,1
implementacion,28
igual,3
forma,12
canales,4
atencion,36
participen,1
ejerzan,1
cercana,3
estrategia,8
racio,1
nalizacion,1
tramites,2
garantizando,3
esquemas,1
autenticacion,1
interoperabilidad,1
almacenamiento,1
conservacion,1
electronica,1
agilizar,1
acceso,14
servicios,18
usuarios,4
desafios,2
cuarta,1
revolucion,1
industrial,1
propender,2
acercamiento,4
alcalde,4
gabinete,1
bre,1
chas,1
cercania,1
dependen,2
cias,2
sector,3
entes,5
descentralizados,5
contar,5
orientado,3
racionalizacion,1
respuestas,1
oportunas,1
disponibles,2
optimice,1
utilicen,1
tecnolo,1
gias,1
socializar,1
local,23
grupos,24
interes,17
lazo,1
visibilidad,2
esfuerzo,1
ciudadano,9
neto,1
promotores,1
nps,1
cooperacion,7
construidas,3
aliados,4
nacionales,5
internacionales,5
agendas,8
socializadas,1
genero,26
efectuados,1
dependencias,17
realizan,3
ejercicios,10
rendicion,4
cuentas,5
siguiendo,1
dafp,1
direccionamiento,8
estrategico,18
gerenciar,1
optimizar,5
economias,1
escala,2
sujetas,1
propietario,1
garantizar,16
perdurabilidad,1
tiempo,2
diseñado,7
herramientas,12
centro,8
estudios,8
financiera,4
juridico,4
comunicaciones,28
ambientes,1
control,32
compras,1
sostenibles,5
permite,2
implementar,13
mejores,5
conforman,1
ente,1
permitiendole,1
competitivo,1
diversificado,1
globalizado,1
ademas,5
gerencia,7
pretende,1
inversion,6
potenciar,7
establecer,4
coordinacion,10
descentralizado,3
logrando,1
administrativa,4
municipales,4
estructurado,1
pilares,1
buenas,2
facilitando,1
clima,1
estrategicos,5
procura,1
relacion,7
estable,1
ductiva,1
propendiendo,2
implementado,11
ejecutados,2
eventos,1
academicos,2
realizados,6
aumentar,4
respuesta,5
retos,7
emergentes,1
constante,1
entorno,4
socio,1
economico,4
politico,5
financiero,1
ministrativo,1
infraestructura,8
cultural,10
tecnologico,1
