word,frequency
tercera,131
plan,286
desarrollo,586
futuro,214
marco,179
programatico,129
formulacion,16
lineas,22
estrategicas,17
pdm,2
enfoques,16
derechos,216
humanos,137
humano,60
sostenible,128
familias,43
comunidades,34
territorialmente,6
equitativo,5
genero,111
poblacional,17
diferencial,33
linea,236
estrategica,45
reactivacion,25
economica,61
transformacion,95
valle,57
software,52
educativa,36
recuperemos,4
social,320
ecociudad,16
talento,25
empleo,50
comienzo,26
seguridad,161
alimentaria,26
movilidad,105
inteligente,21
primera,30
infancia,28
niñez,5
adolescencia,4
ciencia,25
tecnologia,40
curricular,16
innovacion,91
cuarta,35
revolucion,33
industrial,38
servicios,137
publicos,69
energias,10
emprendimiento,25
jovenes,101
alternativas,26
aprovechamiento,29
cti,5
residuos,32
solidos,17
educacion,200
mujeres,169
ciudadanas,32
productividad,20
competitividad,30
conservacion,35
proteccion,108
internacionalizacion,9
maestros,21
maestras,10
lideres,10
formas,25
vida,181
nueva,15
vejez,8
informacion,116
infraestructura,80
ambientes,25
datos,39
generacion,94
reconocimiento,51
diversidad,30
aprendizaje,34
unos,3
espacios,60
valor,45
publico,138
urbanismo,9
ecologico,7
protectores,10
misma,9
cuerpos,12
mentes,6
saludables,21
investigacion,42
creacion,55
ingles,17
apropiacion,47
saberes,20
corregimientos,39
digital,41
cultura,175
arte,27
rural,35
gobierno,56
transparente,13
participacion,216
paz,55
victimas,44
justicia,36
ciudadana,175
seguridades,7
planeacion,83
articulacion,99
fortalecimiento,120
territorial,117
comunicaciones,30
gobernanza,38
gobernabilidad,24
figura,30
esquema,6
estrategico,37
municipal,119
fuente,37
departamento,48
administrativo,38
cinco,6
fueron,3
escaladas,1
acotadas,1
largo,9
proceso,37
definimos,1
construccion,121
colectiva,15
teniendo,12
principales,8
insumos,5
programa,196
propuestas,12
conglomerado,17
iniciativas,38
apuestas,10
reactivar,2
socialmente,1
ciudad,401
partir,62
impactos,8
efectos,19
capitulo,7
constituyen,8
estrategia,58
