full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" 📢¡ @Hydrometra11 abre convocatoria para nuevos integrantes!. Este grupo busca investigar, formar y generar tecnología mediante el desarrollo de medios de transporte de alta eficiencia energética, buscando potenciar la movilidad sostenible. 🌎🛥️ ➕Info:",fminas,Medellín - Colombia,2022-05-21 18:30:00,1528080685457550000,1,1,1
" Faltan días para dar inicio a nuestras giras presenciales de movilidad sostenible y sostenibilidad 2022 🇨🇴, de la mano de @LataMobility. Latam Mobility Colombia 🎟: Net Zero Leadership Forum | Registro sin costo:",LatamGreen,Panama,2022-05-21 01:29:49,1527823948217470000,0,5,1
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:49,1527802306116340000,4,2,1
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:44,1527802284096340000,4,1,1
 Reino Unido apoyará al Valle de Aburrá en proyectos de movilidad sostenible y mitigación del cambio climático #medellin #comunas #rural #corregimientos #webstories @Areametropol,ComunasMed,Medellin,2022-05-21 00:03:38,1527802261438600000,4,1,1
" Te invitamos al inicio de nuestra giras presenciales de movilidad sostenible y sostenibilidad 2022 🇨🇴, de la mano de @latamobility y @latamgreen Latam Mobility Colombia | Boletos 🎟: Net Zero Leadership Forum | Registro sin costo:",IILatam,Panamá,2022-05-20 00:14:12,1527442529674740000,1,3,1
 Como con el Inder Medellín cuando fuiste alcalde y le bajaste significativamente el presupuesto? PERO te gastaste más de 130 mil millones en tu imagen a costa de la movilidad sostenible y otros programas sociales... Sos un falso y una fachada de lo cochino de este pais,PsicoRide,MDE - COL,2022-05-18 17:21:09,1526976195396520000,0,2,1
" Te invitamos al inicio de nuestra giras presenciales de movilidad sostenible y sostenibilidad 2022, de la mano de @latamobility y @latamgreen Latam Mobility Colombia | Boletos 🎟: Net Zero Leadership Forum | Registro sin costo:",IILatam,Panamá,2022-05-18 11:38:11,1526889883788360000,1,4,1
" @QuinteroCalle Desde su llegada claro que sí, más inseguridad, más piratería de servicios públicos. Más basuras por todo lado, pavimentos destruidos. Y ahora suspendido Medellín trata de enmendar ese daño.",CegamaL7,"Medellín, Antioquia",2022-05-21 12:31:25,1527990445904740000,0,2,3
" @SantiagoSernaOs @petrogustavo Le están pidiendo el certificado de votación y la fotocopia de los servicios públicos, la cual tiene su dirección y datos personales, aquí en medellin también los del pacto histórico están dando esos bonos.",SORAGAME13,,2022-05-21 01:24:14,1527822542597240000,0,0,3
" @EPMestamosahi @SinproColombia ¿A Ustedes también les ha venido aumentando la factura de servicios públicos en sus casas, o es sólo percepción mía? ¡Y eso que somos la misma Familia hace más de 1 año! La @comisioncreg @Superservicios podría revisar que pasa con epm en Medellín?.",ibarrapig_28,,2022-05-19 19:06:08,1527365004332500000,1,0,3
