full_text,sentiment
" @camipaisa1 @Marbelle30 Soy antioqueño de nacimiento pero en verdad que la cultura paisa es de lo peor que se puede tener en Colombia , paracos , políticos corruptos , camanduleros , judíos , godos , reggaetoneros y hasta cantantes con pinta de prepago tiene el sello Made in medellín y cia",0
@AlejaLoC Medellin lastimosamente a vivido en medio de la cultura de la violencia ya hace parte de ideosincrancia sobre todo de los sectores populares de nuestra ciudad. Despúes de la epoca mas oscura q vivio nuestra ciudad con el narcotráfico y sus narcobombas q a muchos de nosotros nos,0
" Señora acomplejada nosotros los paisas no la queremos ver en Medellin,no queremos que una pobre negra rasista, sin cultura alguna nos siga insultando.",0
" @cocoa_nini @diamaov La cultura traqueta de Medellín, por eso seguimos en el tercer mundo",0
@PinoCalad Los efectos de la cultura traqueta que dejó Escobar y el cartel de Medellín.,0
@karinin7986 Soy de Medellín y la cultura paisa me da asco y vergüenza...,0
" Para nadie es un secreto que la sociedad Paisa, de Medellín y el Valle de Aburrá es clasista, racista, prima la cultura del vivo, del tramposo. La carta del colegio alemán es una muestra de la gente de acá. Los paisas somos un asquito en varios aspectos.",0
Esa cultura traqueta que carcome a medellín y que aún sigue como un virus por colombia tenemos que comenzar a erradicarla YA!! #ElCambioEnPrimera!!!,0
" cansadita de la gente de Medellín, y la cultura paisa",0
@nocontextSebs En Medellín no están lejos de pensar con la superioridad nazi. Cultura horrible esta.,0
" Oíste, @FicoGutierrez, ¿en qué Medellín hiciste eso que dices sobre la salud? Porque a mí no me tocó. Mentiroso. Igualito de embustero a tu mellizo @QuinteroCalle cuando habla de cultura sabiendo que le recortó presupuesto. Qué asco.",0
" @TaxistaAmargado Yo, en Medellín, no me subo ni loca a un taxi… lejos el peor servicio del mundo… en Manizales me subo, porque no hay mas… y a pesar de todo, hay taxistas muy buenos, otros dejan mucho que desear… creo que abrir el comercio no tiene nada de malo, hay trabajo para todos…",0
@FicoGutierrez @petrogustavo Ojo Antioquia... de ustedes depende el cambio de Colombia.. @FicoGutierrez representa: 1. Su secretario de seguridad era jefe ee la ofivina de envigado 2. Gasto miles de Millones en Publicidad en su alcaldia 3. La pobreza incremento a un 60% en medellin 4. Casi detruye EPM,0
@pcallej El tema de los limpiavidrios está porque mataron uno por negarse a pagar,0
@RevistaSemana Cómo buen Uribista este señor tuvo de secretario de seguridad a un miembro de combo delincuencial de medellin y ahora como buen Uribista dice q va a combatir la corrupción ...con razón Rodolfo Hernández lo trata de cínico..tiene toda la razón más cínico para donde ?,0
" #URGENTE || La ""gente de bien"" en Medellín disparando contra los manifestantes, se repite la historia del año pasado, solo que esta vez están amparados bajo la Ley de ""seguridad ciudadana"". Alertamos a organizaciones de DDHH.",0
" @sheetara666 Fico ha sido el peor Alcalde de Medellín en años, solo que se creó una fachada publicitaria que lo cubrio y sus videos de youtuber , de resto dejo la ciudad llena de desempleo, malos manejos en seguridad con criminales y agregándole los temas de hidroituango, entre otros.",0
@Hardac301 @DanielSamperO No señor aquí el desinformado es otro tiene que actualizarse si barranquilla fuera autónoma no tuviera que pedir permiso o que le aprueben los proyectos hay que ser serios con eso el tema de seguridad no hablemos hay ciudades peores ejemplo Bogotá cali y medellin,0
@AlcaldiadeMed #QuinteroSeVa #MedellinVaMal “Alcalde tiene a Medellín en una crisis de seguridad” via @ElColombiano,0
" @elcolombiano Sigan felices porque Medellín está muy internacional. Nuestra ciudad no tiene rumbo, no tiene gobierno, no tiene seguridad. Solo atracadores, prostitución, drogas y turistas basura que la tienen convertida en un antro.",0
@diamaov Descarada. Cuál seguridad? Además Medellín está destruida. Es un basurero. Y habrá que ver qué arroja la auditoría respecto de los manejos de los recursos.,0
Amo Medellín hasta que cae cualquier gota de agua y la movilidad colapsa por completo.,0
Imposible la movilidad en Medellín un sábado,0
" @SeptimoDiaTV @CaracolTV #vacaciones En Medellín, mucho ojo con la empresa Legendary_Travels_Club, #ESTAFA, Centro Comercial Santa Fe @diego_reportero",0
" @SeptimoDiaTV @CaracolTV #vacaciones en Medellín hay una empresa representaciones turisticas ATB. También estafan a la gente. Te hacen llegar a sus instalaciones con falsos bonos, pero todo con el fin una vez la persona se encuentra allá, te hacen una oferta y te piden con insistencias las tarjetas",0
