full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" Hace 6 años nació @somosmovilidad para promover la movilidad sostenible en la región. Un hecho irrefutable: en el Valle de San Nicolás cabe 3 veces el conglomerado urbano que se forma en el Valle de Aburrá entre Bello y Envigado, incluyendo a Medellín.",AndresJRendonC,Colombia,2022-05-17 17:22:20,1526614104533830000,6,22,1
 @MetrodeQuito @efrainbastidasz En el Metro de Medellín estamos muy emocionados con esta posibilidad. Queremos que todos los Quiteños puedan disfrutar cuanto antes su Metro 🚇 y todos los beneficios de la movilidad sostenible ♻️.,metrodemedellin,"Medellín, Colombia",2022-05-16 23:25:38,1526343144304000000,1,24,1
" Estuvimos en Medellín visitando el @Areametropol para intercambiar experiencias con el experto de #LEVE, Florencio Cuervo, sobre la agenda de movilidad sostenible con el objetivo de apoyar el desarrollo de la Política Metropolitana de Movilidad Sostenible y Eléctrica🚗🌎🚴",UKinColombia,Colombia,2022-05-16 20:45:19,1526302800996700000,8,33,1
" En Medellín ya funciona una flota 100 % eléctrica para la Línea 2 de Metroplús, la cual atraviesa la Zona Urbana de Aire Protegido - ZUAP del Centro. Desde la @sttmed apostamos por la Movilidad Sostenible y la consolidación de la #ecocidad.",marcelapedroza,Medellin - Colombia,2022-05-16 17:18:07,1526250657711370000,0,0,1
 @anabelen20201 @ImparablesEc @andreflores_a @EmilioJDom @TavoAndre @selenelo1711 @bianquirebeca @eduandinoe @norrisviajando Estuve en el corredor del Paseo La Reforma. Concuerdo contigo que Medellín es un buen referente a seguir en cuanto a movilidad sostenible.,WilsonMerinoR,Ecuador,2022-05-13 16:11:31,1525146733801620000,0,3,1
" Empresarios de @upbcolombia participaron en uno de los eventos más importantes en temas de emprendimiento realizado en Medellín @todostartups . BeeData, Lola Movilidad Sostenible y Diido. @cdeupb",UPBBogota,,2022-05-12 15:10:59,1524769108738430000,2,2,1
" @VaneGonzalezMon @QuinteroCalle @juanduquega @camivillamizar @AlcaldiadeMed @AndreeUribeM @Karen_delgadom Que chevere para la Dama. De verdad Medellín con tantas necesidades de gestión por las calles con indigentes o vias , etc. y usted se paga un curso de inglés? No sabia que ya en Medellín se dejo el español. Se hubiera hecho un curso mejor de servicios públicos y hubiera ayudado +",betitoarias26,,2022-05-18 03:05:18,1526760815486960000,0,0,3
" @estebanrestre @QuinteroCalle Jajajajaja y en que Medellín vive usted? Pudriéndonos con las basuras, jardines vueltos matorrales, el mismo metro de siempre colapsado…. Y Epm fue algo de Duque. Por cierto qué pasó con el congelamiento de las tarifas de los servicios públicos?",DianaVanegasJ,Medellin,2022-05-18 01:45:46,1526740798506660000,0,0,3
" @estebanrestre @QuinteroCalle Dijo que iba a congelar las tarifas de los servicios públicos….. oh sorpresa!!, hace dos meses subieron las tarifas. Pregunta: por donde pasa el metro subterráneo y el metro ligero en Medellín??",Juan_Tamayo,"Bogota, Colombia ",2022-05-17 21:47:17,1526680781774590000,1,1,3
" @NoticiasCaracol Los servicios públicos en Medellín, están por las nubes, asfixiados cada vez mas, no alcanza el dinero!",AnaMaraSnchezT3,,2022-05-17 20:36:07,1526662871572260000,0,0,3
